lane,service,trade,carrier,terminal,port_call_seq_no,terminal_call_seq_no,transport_type,transport_connection,cargo_type_lolo,cargo_type_roro
E,TAC1,Trans-Atlantic,ICL,PSAP,0,0,vessel,direct,1,0
E,TAC1,Trans-Atlantic,ICL,NCSPA,1,1,vessel,direct,1,0
E,TAC1,Trans-Atlantic,ICL,ACOT,2,2,vessel,direct,1,0
E,TAC1,Trans-Atlantic,ICL,DPWS,3,3,vessel,direct,1,0
E,TAC1,Trans-Atlantic,ICL,RDT,4,4,vessel,direct,1,0
W,TAC1,Trans-Atlantic,ICL,ACOT,0,0,vessel,direct,1,0
W,TAC1,Trans-Atlantic,ICL,DPWS,1,1,vessel,direct,1,0
W,TAC1,Trans-Atlantic,ICL,RDT,2,2,vessel,direct,1,0
W,TAC1,Trans-Atlantic,ICL,PSAP,3,3,vessel,direct,1,0
W,TAC1,Trans-Atlantic,ICL,NCSPA,4,4,vessel,direct,1,0
E,BI,Bermuda,BISL,BIT,0,0,vessel,direct,1,0
E,BI,Bermuda,BISL,PHCD,1,1,vessel,direct,1,0
W,BI,Bermuda,BISL,PHCD,0,0,vessel,direct,1,0
W,BI,Bermuda,BISL,BIT,1,1,vessel,direct,1,0
E,SI,Bermuda,SISL,OHPA,0,0,vessel,direct,1,0
E,SI,Bermuda,SISL,PHCD,1,1,vessel,direct,1,0
W,SI,Bermuda,SISL,PHCD,0,0,vessel,direct,1,0
W,SI,Bermuda,SISL,OHPA,1,1,vessel,direct,1,0
E,O,Bermuda,BCL,MAHER,0,0,vessel,direct,1,1
E,O,Bermuda,BCL,PHCD,1,1,vessel,direct,1,1
W,O,Bermuda,BCL,PHCD,0,0,vessel,direct,1,1
W,O,Bermuda,BCL,MAHER,1,1,vessel,direct,1,1
E,P1/AL3,Trans-Atlantic,HLUS,NCMT,0,0,vessel,direct,1,0
E,P1/AL3,Trans-Atlantic,HLUS,FIT,1,1,vessel,direct,1,0
E,P1/AL3,Trans-Atlantic,HLUS,BCMT,2,2,vessel,direct,1,0
E,P1/AL3,Trans-Atlantic,HLUS,GCMT,3,3,vessel,direct,1,0
E,P1/AL3,Trans-Atlantic,HLUS,NIT,4,4,vessel,direct,1,0
E,P1/AL3,Trans-Atlantic,HLUS,K869,5,5,vessel,direct,1,0
E,P1/AL3,Trans-Atlantic,HLUS,CTA,6,6,vessel,direct,1,0
E,P1/AL3,Trans-Atlantic,HLUS,DPWLG,7,7,vessel,direct,1,0
W,P1/AL3,Trans-Atlantic,HLUS,K869,0,0,vessel,direct,1,0
W,P1/AL3,Trans-Atlantic,HLUS,CTA,1,1,vessel,direct,1,0
W,P1/AL3,Trans-Atlantic,HLUS,DPWLG,2,2,vessel,direct,1,0
W,P1/AL3,Trans-Atlantic,HLUS,NCMT,3,3,vessel,direct,1,0
W,P1/AL3,Trans-Atlantic,HLUS,FIT,4,4,vessel,direct,1,0
W,P1/AL3,Trans-Atlantic,HLUS,BCMT,5,5,vessel,direct,1,0
W,P1/AL3,Trans-Atlantic,HLUS,GCMT,6,6,vessel,direct,1,0
W,P1/AL3,Trans-Atlantic,HLUS,NIT,7,7,vessel,direct,1,0
E,A,Trans-Atlantic,ACL,FAPS,0,0,vessel,direct,0,1
E,A,Trans-Atlantic,ACL,PNCT,0,1,vessel,direct,0,0
E,A,Trans-Atlantic,ACL,SMT,1,2,vessel,direct,1,0
E,A,Trans-Atlantic,ACL,DMT,1,3,vessel,direct,0,1
E,A,Trans-Atlantic,ACL,NIT,2,4,vessel,direct,1,1
E,A,Trans-Atlantic,ACL,FCOVE,3,5,vessel,direct,1,1
E,A,Trans-Atlantic,ACL,RSCT,4,6,vessel,direct,1,1
E,A,Trans-Atlantic,ACL,UCT,5,7,vessel,direct,1,1
E,A,Trans-Atlantic,ACL,AET,6,8,vessel,direct,1,1
E,A,Trans-Atlantic,ACL,CT1,7,9,feeder,transshipment,1,0
W,A,Trans-Atlantic,ACL,CT1,0,0,feeder,transshipment,1,0
W,A,Trans-Atlantic,ACL,UCT,1,1,vessel,direct,1,0
W,A,Trans-Atlantic,ACL,AET,2,2,vessel,direct,1,1
W,A,Trans-Atlantic,ACL,RSCT,3,3,vessel,direct,1,1
W,A,Trans-Atlantic,ACL,FCOVE,4,4,vessel,direct,1,1
W,A,Trans-Atlantic,ACL,PNCT,5,5,vessel,direct,1,0
W,A,Trans-Atlantic,ACL,FAPS,5,6,vessel,direct,0,1
W,A,Trans-Atlantic,ACL,SMT,6,7,vessel,direct,1,0
W,A,Trans-Atlantic,ACL,DMT,6,8,vessel,direct,0,1
W,A,Trans-Atlantic,ACL,NIT,7,9,vessel,direct,1,1